DT,TICKERS,WGT,PX,DIVIDEND,LEVERAGE,PRICEMO,RETURNVOL,MCAP,EY,RtnM,GICS
01/27/2017,857 HK,1.72222,6.22,0.8694,0.247,8.08,34.044,1710769.721,0.7582,0.076124567,10102010
01/27/2017,883 HK,2.306165,9.84,3.7602,0.3244,-4.05,36.794,439330.9772,0.2,0.01443299,10102020
01/27/2017,939 HK,8.234642,5.8,5.5717,NA,4.59,24.061,1456630.24,17.8694,-0.028475712,40101010
01/27/2017,941 HK,7.081669,87.85,3.0563,0.0043,-13.67,21.138,1798771.131,6.7955,0.068734793,50102010
01/27/2017,992 HK,0.48421,5.11,5.1859,0.3517,-3.17,32.561,56765.2219,8.374,0.087234043,45202030
01/29/2010,101 HK,1.054013,26.5,2.566,0.0741,3.23,52.551,109907.3914,19.1759,-0.133986928,60102010
01/29/2010,1088 HK,2.177176,33.4,1.5644,0.1238,14.07,46.154,665896.3127,5.3472,-0.121052632,10102050
01/29/2010,11 HK,1.600244,109.1,5.7745,NA,-10.45,32.855,208582.0466,6.2977,-0.048823017,40101010
01/29/2010,1199 HK,0.246485,11.36,2.2095,0.3693,9,59.785,25702.2912,4.4614,0.144008056,20305030
01/29/2010,12 HK,1.011865,27.744,1.2208,0.266,7.36,44.963,105512.3905,12.4699,-0.1583801,60102010
01/29/2010,1249772D HK,2.453542,92.05,2.6616,NA,-5.98,38.504,213202.9244,9.3243,-0.08225324,60102030
01/29/2010,13 HK,2.173079,53.15,3.2549,0.6138,-5.11,37.057,226598.1477,6.0135,-0.004681648,20105010
01/29/2010,1398 HK,6.810185,5.592,3.2838,NA,0.74,39.242,1857809.971,7.7011,-0.114909782,40101010
01/29/2010,144 HK,0.546974,26.05,2.4952,0.1879,1.02,56.919,63373.1121,4.3313,0.031683168,20305030
01/29/2010,16 HK,2.959891,100.3,2.4925,0.1412,-5.69,42.177,257202.5999,9.7593,-0.137575236,60102010
01/29/2010,17 HK,0.617138,11.067,2.3437,0.4923,-15.57,51.304,49928.3625,17.5874,-0.198043478,60102010
01/29/2010,19 HK,1.473761,74.172,2.8043,0.2207,0.89,39.228,124102.9061,19.6207,-0.097345779,60102010
01/29/2010,2 HK,1.817152,52.5,4.7238,0.341,-10.38,12.849,126322.5238,6.4796,0.000953289,55101010
01/29/2010,2038 HK,0.337853,8.27,NA,0.0547,61.96,71.733,58918.2986,0.5165,-0.083148559,45203020
01/29/2010,23 HK,0.947059,26.7,1.1168,NA,9.07,49.04,53844.4644,5.31,-0.13452188,40101010
01/29/2010,2318 HK,1.641063,30.4,0.28,0.2946,-5.53,47.279,408547.8128,3.5408,-0.105882353,40301020
01/29/2010,2388 HK,1.156895,16.3,1.7485,NA,-0.35,42.265,172336.3185,8.0833,-0.073863636,40101010
01/29/2010,2600 HK,0.59306,7.84,NA,0.303,3.6,60.6,169200.3441,-4.9744,-0.083040936,15104010
01/29/2010,2628 HK,4.945315,34.65,0.7532,0.0425,1.46,37.94,898498.9187,3.8048,-0.096479791,40301020
01/29/2010,267 HK,0.405615,16.56,0.9058,NA,-3.08,51.849,60422.2771,NA,-0.207655502,20105010
